title,description,location,work_type
Tax Manager,"POSITION SUMMARY: As a Tax Manager at MFLEX, you will play a crucial role in overseeing the tax compliance and reporting functions for our California-based operations. You will collaborate closely with our international teams and the headquarters in China to ensure alignment with global tax strategies while adhering to local tax laws and regulations.
ESSENTIAL DUTIES AND RESPONSIBILITIES:
1. Tax Compliance and Reporting:· Prepare and review federal, state, and local tax filings to ensure accuracy, completeness, and adherence to all relevant tax laws and regulations.· Prepare tax provisions, quarterly intercompany management charges and help set up intercompany transfer price mark up and other TP methodologies· Manage the timely submission of all tax returns, including income, sales, property, franchise and other relevant taxes and informational reporting.· Monitor changes in tax laws and regulations, assess their impact on the company's tax positions, and implement necessary adjustments to ensure compliance.· Lead efforts to resolve tax-related issues, audit or review, ensuring effective communication and collaboration with all relevant stakeholders. 
2. International Taxation:· Collaborate with our headquarters in China and other international teams to develop and implement tax planning strategies that align with global business objectives.· Oversee and work closely with outside tax advisors in tax compliance and tax planning, tax audit or review for foreign owned subsidiaries.· Coordinate and optimize cross-border transactions, transfer pricing, and intercompany tax matters.· Anchor or support tax optimization initiatives out of US entity in connection with worldwide tax strategies. 
3. Banking and other Finance related matters· Support and administer other finance related matters, like banking liaison, credit card management for the US company.Collaborate with cross functional teams including legal, finance and operations for finance related matters and banking credit card management for the US company
EDUCATION, EXPERIENCE AND/OR LICENSES: · Qualifications and Experience:· Bachelor’s degree in Accounting, Finance, or a related field.· Minimum of 5 years of progressive corporate US and International experience in tax compliance, tax planning and tax reporting.· A US CPA or tax equivalent qualification.· Prior working experience at the reputable Big 4 accounting firms is preferred.· Strong knowledge of US federal, state, and local tax laws and regulations.· Fluent Mandarin is preferred but not mandatory· Familiarity with international taxation and cross-border transactions is an asset· Excellent communication skills to effectively collaborate with colleagues at various locations, including the ability to communicate with headquarters in China.
 
","Irvine, CA",FULL_TIME
HR Generalist,"Description & Requirements
WestRock (NYSE :WRK) is a global leader in sustainable paper and packaging solutions. We are materials scientists, packaging designers, mechanical engineers and manufacturing experts with a shared purpose: Innovate Boldly. Package Sustainably. Guided by our values of integrity, respect, accountability and excellence, we use leading science and technology to more fiber-based packaging forward.
 WestRock is a company where each of us genuinely belongs, is respected and valued, can do our best work, and where diversity, inclusion and equity are competitive advantages! 
The Opportunity
As a highly valued member of the Corrugated Packaging Human Resources team, The HR Generalist is responsible for overseeing labor relations, policies and procedures, recruitment and talent management for the New Lenox, IL facility. This position is responsible for serving as the business liaison for managing union relationships while assisting with human resource initiatives designed to drive continuous improvement of HR and operations metrics. Overall, the HR Generalist is responsible for providing day-to-day HR functional support for the facility. This position is located onsite at the New Lenox, IL facility.
How You Will Impact WestRock
 Manage recruitment and hiring efforts including partnering with university co-op programs.  Create strategic business partnerships with front-line employees and supervisors to promote positive employee relations.  Create progressive discipline plans to monitor, review and make suggestions for corrective actions for attendance, punctuality, conduct and performance issues.  Implement human resource policies and procedures to ensure compliance with Federal and State regulatory requirements and reporting.  Coordinate recruitment efforts, establish interview and selection procedures, develop job announcements and interview materials, and conduct interviews for hourly employees.  Investigate questions and/or complaints to resolve employee relations issues.  Serve as first point of contact for labor relations to manage grievance procedures and administration of the collective bargaining agreement and labor union contract negotiations.  Coach and advise front-line employees and managers regarding employee relations policies, contractual labor agreements interpretation and proper operating procedures.  Partner with Talent Acquisitions to manage the workforce plan development and implementation, assisting with compensation and training initiatives. 
What You Need To Succeed
 Bachelor’s degree in Human Resources or a Business-related discipline. - Required  2+ years of HR Generalist experience - manufacturing environment - Preferred  Labor relations experience within a unionized manufacturing facility - Preferred  Experience with Microsoft Office - Excel, Outlook, PowerPoint, Word  Working knowledge of Human Resources Information Systems (HRIS) and payroll systems  Working knowledge of labor relations, employment laws, benefits, HR principles  Working knowledge of Federal compliance guidelines (i.e., OFCCP)  Possess exceptional oral and written communication skills.  Ability to quickly adapt to change in the work environment.  Proven success in applying fresh ideas, creative thinking and a growth mindset to complex challenges/problems resulting in high impact outcomes.  Excellent cross-group collaboration, problem solving, and interpersonal skills. 
What We Offer
 Corporate culture based on integrity, respect, accountability, and excellence.  Comprehensive training with numerous learning and development opportunities.  An attractive salary reflecting skills, competencies, and potential.  Benefits package to include medical, dental, vision, life insurance, 401k with match, tuition reimbursement, employee discounts, employee referral bonus, and much more!  A career with a global packaging company where Sustainability, Safety and Inclusion are business drivers and foundational elements of the daily work. 
WestRock is an Equal Opportunity Employer. We strive to create and maintain a diverse workforce where everyone feels valued, respected, and included. WestRock does not discriminate on the basis of race, color, religion, national origin, sex, age, disability, veteran status, sexual orientation, gender identity, or any other basis protected by federal, state or local law.","New Lenox, IL",FULL_TIME
Papermill Shift Supervisor,"Description & Requirements
WestRock (NYSE :WRK) is a global leader in sustainable paper and packaging solutions. We are materials scientists, packaging designers, mechanical engineers and manufacturing experts with a shared purpose: Innovate Boldly. Package Sustainably. Guided by our values of integrity, respect, accountability and excellence, we use leading science and technology to more fiber-based packaging forward.
 Production Supervisor Paper 
 Hopewell, VA 
Career Opportunity
Supervises workers engaged in producing sellable, quality reels of linerboard by performing the following duties.
How You Will Impact WestRock
 Promotes the maintenance of safe and healthy working conditions and recommends measures to reduce or eliminate accident and health hazards in compliance with federal, state, local, and corporate regulations. Studies production schedules and estimates the number of work hours required for completion of job assignments. Interprets and enforces company policies, standard operating procedures, and safety regulations. Establishes and / or adjusts work procedures to meet production schedules. Makes and implements recommendations to improve safety, quality / customer satisfaction, and Overall Machine Efficiency (OME). Analyzes and resolves work problems, and / or assists workers in solving work problems. Initiates and / or suggests plans to motivate workers to achieve department and mill goals. Maintains time and production records. Sets up machines and equipment to meet safety, quality, and production objectives. Performs activities of workers supervised in order to train / develop employees. Prepare an outline and conduct safety and crew meetings monthly.
 WestRock Values 
 Integrity – We are honest, ethical and do the right thing. Respect – We treat one another with respect and earn the respect of others through our actions. Accountability – We are responsible for our work, to our team and for contributing to the success of our company. Excellence – We strive to perform at the highest levels – for ourselves and for our customers, investors and communities
What You Will Need To Succeed
B.S. Degree in Chemical Engineering or Pulp and Paper curriculum strongly preferred. High school diploma or general education degree (GED); or 3-5 years related experience and/or training; or equivalent combination of education and experience.
This document outlines the minimum requirements of the positions and is not intended to be all-inclusive of the position duties.
WestRock Company is an Equal Opportunity Employer committed to creating and maintaining a diverse workforce: Minorities/Females/ Disabled/Veterans.
WestRock is an Equal Opportunity Employer. We strive to create and maintain a diverse workforce where everyone feels valued, respected, and included. WestRock does not discriminate on the basis of race, color, religion, national origin, sex, age, disability, veteran status, sexual orientation, gender identity, or any other basis protected by federal, state or local law.","Hopewell, VA",FULL_TIME
General Laborer,"Description & Requirements
WestRock (NYSE :WRK) is a global leader in sustainable paper and packaging solutions. We are materials scientists, packaging designers, mechanical engineers and manufacturing experts with a shared purpose: Innovate Boldly. Package Sustainably. Guided by our values of integrity, respect, accountability and excellence, we use leading science and technology to more fiber-based packaging forward.
We are seeking a General Laborer in our Mesquite, TX Star Pizza Box (SPB) facility. This is an entry level position, assigned as needed throughout the plant to fill in at the lower level positions in each department. You will start at $15.50 / hour with higher paying positions available. All day shift positions available with the ability to work Monday through Thursday on some occasions. The shifts can be 8, 10 or 12 hours if needed. Small close net team environment.
JOB DESCRIPTION Primary duties include safely performing a wide range of tasks that include stacking corrugated product, conducting quality checks, material set-ups and maintaining a clean and organized work area. The ideal candidate will have a strong commitment to working safely, a demonstrated ability to work in a fast-paced environment, a strong desire to learn process and operate machinery, and have a desire to advance within the company.
KEY RESPONSIBILITI ES Ability to operate various manufacturing equipment, follow specific directions, operate hand tools, and other duties as assigned. Maintain a clean and safe work environment and comply with all safety regulations. Ability to read a tape measure and have basic math and computer skills. Ability to lift, push and or pull 50lbs, navigate stairs, stand, walk, bend and kneel thorough the entire shift. Receives raw material. Assists other team members in cleaning, starting up and operating machines. Performs other duties as assigned.
REQUIREMENTS REQUIRED to work daily OVERTIME, weekend work and various shifts depending on production needs. Willing to advance as opportunities arise Basic computer skills Education & Work Experience High School diploma or equivalent 1 year of manufacturing experience preferred.
WestRock is an Equal Opportunity Employer. We strive to create and maintain a diverse workforce where everyone feels valued, respected, and included. WestRock does not discriminate on the basis of race, color, religion, national origin, sex, age, disability, veteran status, sexual orientation, gender identity, or any other basis protected by federal, state or local law.","Mesquite, TX",FULL_TIME
Mortgage Loan Officer,"Job Responsibilities:Build and maintain relationships with referral partners (e.g. Realtors, Financial Advisors, Bank Branches).Identify partnership opportunities and develop strong business relationships through company sponsored events, and direct to consumer activities.Develop knowledge of Company products, policies and procedures, and underwriting requirements.Analyze detailed financial and credit data, matching consumer needs with an appropriate loan program and level of risk.Develop and maintain a high degree of visibility for Sun West in the marketplace.Visit SunWestPartners.com for detailed pricing and compensation plans.We offer an excellent compensation and benefits package, including health, dental, vision insurance and a 401 (k) program. As well as a great work environment.
Requirements:A valid NMLS state license is required.1+ years of successful external/outside retail mortgage origination experience with an emphasis on self-sourced business.Proven sales experience with the ability to meet production standards set for Branch production.Complete familiarity with FNMA**/FHLMC, FHA/VA guidelines and understanding of all facets involved in real estate transactions.**Fannie Mae® is a registered trademark of Fannie Mae.",United States,FULL_TIME
Product Engineer,"Responsibilities:Implement smaller fixes/features by writing well-tested and maintainable code within the first month of joining.Execute more complex changes and enhancements to the product within the first quarter.Take ownership of significant portions of the code base, ensuring its reliability and scalability within the first quarter.Actively source at least one engineering candidate for our hiring pipeline every month within the first quarter.
Qualifications:Excellent software engineering skills, capable of writing scalable, well-tested, and maintainable code that facilitates collaboration among team members.Detail-oriented mindset to ensure code changes do not disrupt the production system.Rapid learning ability, especially in mentoring junior engineers.Collaborative team player with strong communication skills, able to collaborate effectively with engineers, designers, and customer success teams.Experience with open-source projects and a demonstrated history of career progression.Proficiency in React/TypeScript with at least 3 years of hands-on experience.A Computer Science degree, providing a solid foundation in software engineering principles.Prior experience working on complex tools or with Series A-C startups in chart or data visualization tools.A strong product sense and a genuine concern for delivering exceptional customer experiences and user-centric designs.
Preferred Qualifications:Prior experience working with Aggrid.Proven track record of successful contributions to open-source projects.Degree in Computer Science.Located in New York or within close proximity.
Benefits:Competitive salary and equity packageUnlimited PTOEquipment stipend to support your home office needsGenerous monthly remote wellness stipend (lunch, gym, co-working, etc.)Generous annual learning and development stipendCompany retreats twice a year","New York, NY",FULL_TIME
Site Superintendent,"COMMERCIAL PROJECT SUPERINTENDENTNorth Carolina based General Contractor seeks experienced Construction Superintendent. Candidates should have a minimum of 10 yrs experience supervising Commercial Construction projects.
Candidates must possess strong supervisory skills and ability to motivate a diverse subcontractor base, have strong verbal and written communication skills, be familiar with all types of construction, be proficient with reading and interpreting architectural and engineering plan drawings and specifications, and have basic knowledge with the use of computers and MS Office programs. Candidate must also be self-motivated, dependable, have dependable transportation, be very detailed, and quality oriented.
DUTIES AND RESPONSIBILITIES INCLUDE:· Represent the company in a positive and professional manner and create and maintain excellent rapport and relationships with architects and owners.· Coordinate and supervise all on-site construction activities and be proficient with multi-tasking, establishing priorities, and have strong time management skills.· Manage subcontractors and vendors to ensure performance and scheduled milestones are met.· Perform routine quality control inspections to ensure quality workmanship and that the work is consistent with the contracts and project documents as well as ensuring the quality of our projects are of the highest caliber.· Promote and ensure jobsite safety and safe work practices, maintain a clean and safe jobsite environment, rectify job site hazards immediately, and conduct regular tool-box safety meetings.· Communicate performance and progress, events, and issues daily to the PM.· Identify and report critical issues and problems to the PM promptly and provide potential resolutions.· Assist and inform the PM when RFI's or CO's are necessary and track/inform the subcontractors of responses/approvals.· Identify and complete self-performed work when logical and feasible.· Schedule job site inspections and meeting with inspectors, when required.· Work the hours necessary to achieve the best results within the given time constraints of the construction schedule.· Supervise completion of a final punch lists for timely project turnover
","Central, NC",FULL_TIME
Automotive Lead Quality Coordinator,"Job DetailsDivision: Nucor Steel BerkeleyLocation: Huger, SC, United States  Other Available Locations: N/AApplication Deadline: July 10, 2023
Basic Job Functions:The Automotive Lead Quality Coordinator position works closely with the Quality Director in the maintenance and improvement of all aspects of the IATF based quality management system. This position leads the development of required PPAPs and Bulk Materials Checklist, as well as, tracks and maintains required part evaluations for the automotive business by working with account Technical Representatives/Metallurgy. The Automotive Lead Quality Coordinator is responsible for the collection, review and implementation of customer specific requirements and/or other required customer documentation. This position assists the Quality Director in the responsibility of completing accurate readiness materials for up-coming IATF Surveillance/Renewal audits. This position is also responsible for assisting with the review, evaluation and audit of outside processors. This position audits systems for conformance to required quality system procedures, standards and customer specific requirements.
Nucor Steel Berkeley will not sponsor the need for a visa now or in the future for this position.  Safety is the most important part of all jobs within Nucor; therefore, candidates must be able to demonstrate the ability to initiate, lead, and uphold safety policies, practices, procedures, and housekeeping standards at all times.
Minimum Requirements:1. High School Diploma or equivalent
Detailed Selection Criteria:1. Communication - The ability to give full attention to what others are saying and communicating information so that others will understand.2. Initiative - Being proactive with seeking out work that needs to be done and being willing to take on responsibilities and challenges.3. Problem Solving - Identifying problems and analyzing or reviewing related information to develop and evaluate options and implement solutions.4. Coordinating Information - Observing, receiving, and otherwise obtaining information from all relevant sources.5. Teamwork - Working as part of a coordinated effort with others to achieve a common goal.6. Dependability - Being reliable, responsible, and committed to fulfilling obligations.7. Attention to Detail - Thorough in accomplishing tasks, no matter how small they may be, and taking care to make sure that expectations are met.8. Organizing, Planning, and Prioritizing Work - Developing specific goals and plans for prioritizing, organizing, and accomplishing individual work and/or the work of the team.
 Preferences:1. Associates Degree or Higher2. Three or more years’ experience developing PPAPs3. Experience auditing to ISO 9001 and IATF 169494. Previous quality management experience","Huger, SC",FULL_TIME
Rehabilitation Manager,"GENERAL SUMMARY OF POSITION:Under the general supervision of the Medical Director, ensures the delivery of high-quality, therapeutic rehabilitation services on two adolescent inpatient psychiatric units. MAJOR RESPONSIBILITIES:Provides administrative oversight for, & day-to-day management of, the Rehabilitation Services Department in accordance with all regulatory & professional standards.Manages &/or provides OT & related services including assessment, intervention, program planning, implementation and discharge planning in accordance with established DMH policies and procedures and in accordance with the Occupational Therapy Code of Ethics and Standards of Practice.Provides the therapeutic milieu for patient programming.Provides clinical care for patients and maintains clinical documentation.Demonstrates respect and regard for the dignity of all patients, families, visitors and fellow employees to ensure a professional, responsible and courteous environment.Promotes effective working relations as part of a multi-disciplinary team to facilitate the Department/units ability to meet its goal and objectives.Attends all training programs related to general services and specific job-related goals and objectives.Is responsible for all activities related to general safety, department/service safety, specific job-related hazards.Establishes Peer Review/Clinical Pertinence for the Rehabilitation Services Department in accordance with established standards of practice & participates in Performance Improvement activities.Performs other specific duties as required. REQUIRED QUALIFICATIONS:Masters degree from an accredited school of Occupational Therapy preferred.Current Massachusetts certification/license in occupational therapy or related professional discipline.5 years management experience.5 years experience in psychiatric rehabilitation field or equivalent.Provides complete and accurate responses to safety questions.","Worcester, MA",FULL_TIME
Executive Assistant,"The ideal candidate will possess extensive experience in the restoration industry, proficiency in DASH software, a solid understanding of Xactimate, advanced knowledge of construction practices, and a strong background in bookkeeping. The Executive Assistant will play a crucial role in supporting the owner and leadership team, ensuring the efficient operation of the company's administrative and project-related activities.


**Requirements:**- A minimum of 10 years of experience in the restoration industry, showcasing a comprehensive understanding of restoration processes and techniques.- Proficiency in DASH software to manage project-related activities, documentation, and communication.- Solid background in bookkeeping with the ability to manage financial transactions accurately. Experience with QuickBooks or similar software is a plus.- Bonus qualifications: Familiarity with Xactimate software for accurate project cost estimation, and advanced knowledge of construction practices.- Excellent organizational and time management skills, with the ability to prioritize tasks effectively and manage multiple projects concurrently.- Strong communication skills, both written and verbal, to interact with internal teams, clients, and stakeholders.- Problem-solving mindset and the ability to adapt to changing priorities and situations.- A proactive and self-driven work ethic, with the capacity to work independently and as part of a collaborative team.","Canton, GA",FULL_TIME
Program Scheduler,"Provide support to the development, implementation, and maintenance of a logically linked integrated master schedule (IMS).Responsible for the monitoring and measurement of progress, the identification and working of program-wide issues, and addressing of tasks received from project management and external agencies with respect to integrated master schedules and plansAssist in the development of Critical Paths and SRAs.Assist with the integration of activities of all functions in the contract, ensuring that they flow smoothly together to achieve the objective results. *Assist in the definition of, and articulate problems in the conduct of the program, and propose and help implement workable solutions to remedy those problems. The problems, as well as the solutions, will not necessarily be obvious and will require extrapolative thinking.Clearly communicate issues and resolutions to project management in both written and verbal means.Prepare presentations to senior management containing metrics and explanations of data.Responsible for contract deliverables related to the Integrated Master Schedule (IMS) and Integrated Master Plan (IMP). *Assist in the coordination of program-wide review meetings with appropriate personnel (i.e., team leads, government contacts, and program management) by coordinating agendas and minutes. *The individual will assist in the closure of assigned follow-up actions resulting from program-wide reviews. *May lead program review meetings for scheduling.
Requirements:Bachelor's Degree in any fieldMS Project OpenPlan/ Cobra","Minneapolis, MN",CONTRACT
Executive Assistant,"Must-haves -10-15 years’ experience as an Executive Assistant  -Majority of experience supporting C-Suite executives and Board Members  -Strong experience with MS Office 
Plusses -Similar industry background 
Day-to-Day Insight Global is seeking an Executive Assistant to join one of their holding and investment clients in New York City. This individual will be supporting the current EVP, who is also part of the founding family and a member of the board. The primary responsibility will be both professional and personal management for the EVP, with a focus on calendar management, travel, expense management, meeting memos, email maintenance etc. Some of the support especially around board meetings will extend to the ownership family as well. We need someone with a proven record of supporting C-Suite executives and has the upmost professionalism. We need someone who can manage different personality types, and who can pitch in additionally on company projects, due to the family nature of the firm.","New York, NY",FULL_TIME
Real Estate Attorney,"Tarvos Talent is working with a client in need of a Real Estate Attorney to join their team. The hiring process is moving quickly, and our client is eager to conduct interviews with potential candidates as soon as possible.
Key Responsibilities:Draft and negotiate lease amendments, navigate financing arrangements, and creatively solve property management challenges.Engage in client development activities, including participation in panels, public speaking, and networking to expand our client base.Collaborate with asset managers, lease administrators, landlords, and internal teams to provide legal solutions that drive successful outcomes.
To apply for this position, please submit your resume directly to the job posting.","Austin, Texas Metropolitan Area",FULL_TIME
Fleet Maintenance Manager,"Established Independent Waste Hauler has an immediate opening for an experienced Fleet Maintenance Manager in Houston, TX. In this position, you will be responsible for 125 trucks, 17 mechanics and 2 shift supervisors. The position pays a base salary of $100-126k, plus excellent benefits.","Houston, TX",FULL_TIME
Prior Authorisation Specialist,"Description:
DutiesIn this role, you will be responsible for:• Utilizing multiple software systems to complete Medicare appeals case reviews• Meeting or exceeding government mandated timelines• Complying with turnaround time, productivity and quality standards• Conveying resolution to beneficiary or provider via direct communication and professional correspondence• Acquiring and maintaining basic knowledge of relevant and changing Med D guidanceExperienceRequired Qualifications:• Accountable and results driven• Critical thinker/problem solver• Receptive to constructive feedback and flexible in adapting to change• Ability to effectively plan, prioritize, and organize time and workload• Ability to execute successfully in a deadline-oriented, fast-paced, highly-regulated environment• Ability to sit at desk/station and focus on reviews for entire shift• Proficient in navigation of multiple computer applications• Proficient use of keyboard, mouse and ability to navigate 2 workstation monitors• Ability to type more than 30 WPM
Preferred Qualifications:• Six months of PBM/pharmaceutical related work strongly desired• At least two years of general business experience that includes problem resolution, business writing, quality improvement and customer servicePosition SummaryThe Coverage Determination Representative II will work closely with providers to process prior authorization (PA) and drug benefit exception requests for multiple clients or lines of business and in accordance with Medicare Part D CMS Regulations. Must apply information provided through multiple channels to the plan criteria defined through work instruction. Research and conduct outreach via phone to requesting providers to obtain additional information to process coverage requests and complete all necessary actions to close cases. Responsible for research and correction of any issues found in the overall process. Phone assistance is required to initiate and/or resolve coverage requests. Escalate issues to Coverage Determinations and Appeals Learning Advocates and management team as needed. Must maintain compliance at all times with CMS and department standards. Position requires schedule flexibility and additional cross training to learn all lines of business. Flexibility for movement to different parts of the business to support volume where needed.
Opportunity for full-time employment contingent on performanceVirtual interviews with supervisors via WebEx or phone.Hours of operation 8-8 est M-F with rotating weekend schedules
Education• High School Diploma or GED required• Bachelor’s degree in related field or equivalent work experience preferred

8hr Shift Mon- Fri 8a-8p EST, rotating weekends. Training hours M-F 9a-5:30p EST initially",United States,CONTRACT
Directing Attorney,"JOB ANNOUNCEMENT - DIRECTING LITIGATION ATTORNEYThe Center for Human Rights and Constitutional Law (CHRCL) in Los Angeles is hiring! We have an immediate opening for a DIRECTING ATTORNEY. 
TO APPLY: email Cover Letter, Resume, and 2-3 writing samples (briefs over your name) to pschey@centerforhumanrights.org and kalle@centerforhumanrights.org Subject line: Directing Attorney Applicant and your name DIRECTING ATTORNEY: The Center is currently seeking a Directing Attorney who will help coordinate complex and class action litigation, mostly focusing on the rights of vulnerable immigrant groups. 
ABOUT CHRCL: The Center for Human Rights and Constitutional Law is a Los Angeles non-profit organization that focuses its work on the civil and human rights of insular minorities, including immigrants, refugees, children, and indigenous peoples. Please visit our website for more information: www.centerforhumanrights.org. The Center’s cases have resulted in the release of over a million detained minors, several million undocumented children having access to public education, tens of thousands of abused, abandoned, and neglected minors being able to apply for Special Immigrant Juvenile status up to the age of 21, and the reversal of tens of thousands of decisions denying relief to Salvador and Haitian asylum seekers. The program operates in Los Angeles with a fairly small staff of five to six attorneys, four legal assistants, and an Executive Administrator. 
QUALIFICATIONS:Must be a member of the California Bar with at least 3-5 years of experience engaged in complex or class action litigationDemonstrated commitment to social justice and the practice of law in the public interest.Expertise in constitutional law, immigration law, and/or federal litigation.Available to work full-time at the program’s office in Los Angeles.
SALARY AND BENEFITS:Salary $95,000-$130,000 depending on experience, medical and dental insurance, vacation pay and use of a retreat center in Kauai for vacations, and participation in a Deferred Compensation program based on a portion of attorneys’ fees won.

","Los Angeles, CA",FULL_TIME
Accounts Receivable Coordinator,"Hi ,My name is Mohammed Rehan, Representing HexaQuEST Global. I have a Job Opportunity for Accounts Receivable Clerk - Edwardsville, KS – 66111.Please find the Job Description below and share your Updated resume to rehan.m@hexaquestglobal.com or call me +1 (832)-497-2407. Title: Accounts Receivable ClerkLocation: Edwardsville, KS – 66111Potential Temp to Perm. Timings:Monday - Thursday8am - 5pm Friday8am-1pm Job Summary:Performs the day-to-day functions of verifying accounts receivable collections for the Branch. Executes other office and credit administrative functions for the Branch in order to provide satisfactory customer service. Essential Functions:Counts and verifies all cash collected in payment of accounts receivables by sales reps or retail customers making payment at the Branch.Counts and verifies all payments of invoices billed as COD for orders picked up by retail customers.Verifies that all SPU?s payments are collected and deposited.Call Sales Department for past due SPU?s.Ensures the accurate processing of cash from invoice payments for a daily deposit, with a copy to regional accounting.Ensures the electronic scanning of checks are accurately processed and all reports are submitted to the department for balancing.Backup and relief for switchboard.Performs other duties as assigned.Additional Responsibilities:Accounting functions needed.Job Qualifications:High school diploma or GED Plus two years of related experience.Two to five years as Bank Cashier or responsibilities to count and balance funds.Strong communication skills, interpersonal.Ability to sit for extended periods (could be as long as 5 hours).Working knowledge of Excel and Outlook a plus.Working knowledge of SAP a plus","Edwardsville, KS",CONTRACT
IT Collaboration Systems Engineer,"Job Title: IT Collaboration Systems EngineerJob Type: FulltimeLocation: North Wales, PA (Remote)
Job Description:Client engineering team looking to onboard an experienced IT Collaboration Systems Engineer to build IT solutions that enable collaboration across the organization. This role will engineer and oversee identity management, build and manage client platforms, and implement and administer all collaboration tools in the environment.
What will the role do: Administer SaaS apps & integrations (Okta, Slack, Google Suite, Jira, Zoom, etc.)Own automation, identity access management and systems integration efforts. Establish scaled solutions to reduce manual efforts within IT.Help with user onboarding and offboarding tasks as it relates to hardware and SaaS apps.Work on various Corporate IT continuous improvement projects as assigned.Integrate SaaS and collaboration systems - design, develop, support and manage integrations to internal and external systems as required.Work closely with stakeholders and security for risk mitigation.Utilize Bash/Python as a resource for automation.Support Security and Data Privacy policies and initiatives.Review current processes and seek improvements - proactively look for ways to improve user productivity, share data to support and implement improvements.Automate manual processes.
Skills and experience required in: 6+ years of experience in an IT Systems Engineering role.Experience integrating systems, M&A planning.APIs and advanced scripting knowledge.Ability to thrive in a fast-paced environment. Background in IT System Administration.Experience with tech stack: Okta, Slack, GSuite, Google Workspace, Zoom, Atlassian, SaaS ERP/CRM systems and other SaaS products.Be detail-oriented and value infrastructure as code.Experience finding creative solutions using API as a resource and proactively look for ways to have users self-serve their needs.Okta certifications or in-depth SAML/SSO integration skillsGoogle Suite Administration experienceJamf Certifications is a bonus.

Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries of the position across all US locations. Within the range, individual pay is determined by work location and additional job-related factors, including knowledge, skills, experience, tenure and relevant education or training. The pay scale is subject to change depending on business needs. Your recruiter can share more about the specific salary range for your preferred location during the hiring process. Additional compensation may include benefits, discretionary bonuses, and equity.","North Wales, PA",FULL_TIME
Support Services Specialist,"OVERVIEW: The Support Services Specialist will deliver on key Operational Support Services project and program efforts that drive results, including CallMiner Speech Analytics, Boost.ai Chatbot, work in support of Payment Processing, and CBR/Escheatment Processing, Operations technology implementations, and Customer Experience of the Future. This role will work closely with the VP of Support Services, the Payment Processing, and CBR/Escheatment Processing Operations leaders, vendor partners, and other Operations resources as required to get things done. Therefore, the ability to communicate and work collaboratively and effectively with all levels is a key priority. The Support Services Specialist will support multiple work efforts from beginning to end, including analysis, task management and completion, documentation, design/development, implementation, and results measurement. The ideal person will be an ambitious “doer” with an entrepreneurial spirit who thrives in a dynamic and challenging environment, communicates positively, and fits culturally into our familial atmosphere.
PRINCIPAL ACCOUNTABILITIES:Supports high-priority Operations Support Services project and program work from beginning to endManages multiple, parallel effortsMeasures, monitors, analyzes, and reports on data in support of work efforts· Participates in idea generation activities and overall design/development of programs and processes applicable to work effortsCreates and implements work plans and completes requirements needed to deliver on the workCompletes required supporting documentation for work effortsIdentifies roadblocks and risks and recommends appropriate resolutionsWorks collaboratively with stakeholders and subject matter experts as needed across and external to the organization to ensure successful completion of assigned Operational Support Services workEnsures that deliverables meet stakeholder expectationsIdentifies gaps and works to drive on-going process and performance improvement Remains informed of business, industry, and technology trends and shares applicable insights Performs other duties as assigned 
COMPETENCIES/QUALIFICATIONS:Four-year degree (BA, BS) in a related field1-2 years in a Contact Center environment/Operations· 1 + years of experience in the Financial Services industry or FintechAbility to organize, prioritize, and multitask in a fast-paced environment with minimal supervisionDemonstrates ownership and accountability of assigned tasks, programs/projects, and other areas needing supportExcellent decision-making and problem-solving skills; Accepts and manages changing priorities and addresses issues quicklyExcellent analytical skills and attention to detailStrong verbal and written communication skills including the ability to effectively convey clear insights to varying audiences Strong interpersonal and collaboration skills; Builds positive and effective working relationships with peers, internal and external stakeholders, and Executive/Senior-level managementFluency/Proficiency in Excel, MS Project, Word, & PowerPoint1-2 years in Project and/or Program Management or Business Analysis is a +· Knowledge of the following Contact Center technologies and solutions is a +, including Speech Analytics, Chat/Chatbot, ACD, IVR, Call Recording/Quality Monitoring, CRM, and Knowledge Management
EDUCATION AND TRAINING: · BS/BA degree in a related field· Overall knowledge of Consumer CreditEXPERIENCE:Previously demonstrated experience in the following areas: Retail Sales, Financial or Banking industry, Customer Service skills, Sales skills, Technology implementation, Motivation, Management development, Presentation skills, Interpersonal skills, Decision making skills, and Systems trainingCERTIFICATION/LICENSE:None required for this position SUPERVISORY RESPONSIBILITIES: None required for this position COMMUNICATION AND COGNITIVE ABILITIES:  Excellent verbal and written communication skillsMust be self-motivated and know when to seek guidanceFlexibility, ability to change priorities quickly, and capacity to handle multiple tasksMust be comfortable working in ambiguous and/or stressful situations POSITION TYPE:  Full-time positionHybrid work environment; Required to be in the office 3 days/weekMay also require 1-2 International trips per year to Vendor locations",Atlanta Metropolitan Area,FULL_TIME
